#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
        93.0        46.5   312.46347   47.712982    6.430688    15.45184   31.315369   -0.991387
        94.0        47.0         nan         nan         nan         nan         nan         nan
        95.0        47.5  309.983856   46.656853    9.019824    16.60603   37.567337    0.280305
        96.0        48.0  311.050446    47.56712   10.258288   23.679893   48.148582    1.910944
        97.0        48.5  311.625946   47.312046    8.502207   16.606384   43.199837   -5.360483
        98.0        49.0  310.653442   47.806961   10.550107   22.773287   36.367649    2.401494
        99.0        49.5  311.675232   47.706783    9.072585   17.904509   45.329723    0.645592
       100.0        50.0   310.59436   48.110851   12.009653   24.750883   47.800152    3.987289
       101.0        50.5  311.475464   47.901966    9.401677   16.962589   41.911961   -0.648829
       102.0        51.0  310.556183   47.633625   14.577023   34.088272   65.812439   -1.520956
       103.0        51.5  313.186615   47.548378    9.979633   21.280535   38.511856    2.486783
       104.0        52.0  312.864838    47.53867   12.125117   26.649557    64.57225   -7.330934
       105.0        52.5  312.478973   47.339466   10.223173   18.414907   65.777908    5.803004
       106.0        53.0         nan         nan         nan         nan         nan         nan
       107.0        53.5  312.922913   46.921501   16.780807   32.654697   70.636566   -5.872064
       108.0        54.0  313.077759   46.637428   17.439138   36.841457   87.799248   -2.662869
       109.0        54.5  312.805756    46.99551    14.26367   31.820927   67.001816       4.908
       110.0        55.0  312.488251   46.821083   14.365788   36.951645   51.215847    -6.49259
       111.0        55.5  312.347534   46.568142   12.627529   26.053122   51.467281    -3.40346
       112.0        56.0  312.506775   47.198048   11.099005     22.5033   50.767517    2.964389
       113.0        56.5  312.057648    47.25703    9.541649   22.981245   27.079868     3.43943
       114.0        57.0  311.441406   47.080219   10.141652   25.244692    35.64101   -2.847277
       115.0        57.5  312.262421   46.550453    9.055218   22.998941   28.666348   -0.609184
       116.0        58.0  310.962677   47.150288    9.487091   24.130228   22.765329    2.421699
       117.0        58.5  310.691345   47.852352   12.099729   33.716324   42.488781   -8.210516
       118.0        59.0  310.885193   47.020424    9.671801   27.332335   22.977875   -0.161555
       119.0        59.5  311.068298   47.462082   10.469028   30.260389   30.037323   -5.837506
       120.0        60.0  311.755615   47.044479    8.568804    19.00202   25.856668   -2.504023
       121.0        60.5  310.633575   46.686005    9.794626   21.114262   41.402912     2.46648
       122.0        61.0  312.449799   46.759544    9.657409    25.90118   29.285162    0.914836
       123.0        61.5  312.650146   47.233616   10.283602    22.38356    36.79137   -1.527631
       124.0        62.0  313.845184   46.254433   10.433114   27.244457   36.628452    0.548486
       125.0        62.5  314.907745   46.768444    9.101223   22.809877   28.092138    3.560236
       126.0        63.0   316.97522   46.562469   13.178266     33.3563   39.605782     0.23367
       127.0        63.5   316.47287   46.421364   10.559615    27.33798   34.981808   -3.830936
       128.0        64.0  316.332703   46.288486    8.696863   24.284399   26.460278   -2.308679
       129.0        64.5  317.957306   46.403763   10.657248   28.470093   37.355427   -2.918099
       130.0        65.0         nan         nan         nan         nan         nan         nan
       131.0        65.5  311.037445    46.94035    9.836959   24.657793   33.618843   -5.462451
       132.0        66.0  314.883057   47.070484   10.082113   24.105339   24.535912   -1.714703
       133.0        66.5   314.63147   46.183426   11.931193   27.357323   44.810974    3.505921
       134.0        67.0  315.138245    46.45118   10.557338   23.965483   43.984119    4.839567
       135.0        67.5  314.638855   46.985729   12.020404    32.00071   34.602837    2.706862
       136.0        68.0   314.38269   46.674461    8.012596   23.793482   27.921213    2.372624
       137.0        68.5  313.055908   46.625027   10.836709   24.357151    36.52142    -0.32059
       138.0        69.0  312.126495   47.057415     9.84693   23.055887   31.978333    3.460317
       139.0        69.5   312.24585   47.020176   10.763502   27.340702   28.436563    3.275672
       140.0        70.0  312.420502   46.989269    9.385328   21.950274   35.951149   -0.998642
       141.0        70.5   314.69696   46.928368    9.200958   22.733984   30.305319   -0.662129
       142.0        71.0  314.285645     46.8894    8.596545   21.448238   30.063564   -0.609715
       143.0        71.5  312.840393   47.017471    9.991415   27.121328   29.250244   -2.343878
       144.0        72.0  312.299561     47.1241    8.874175   19.654043   28.562033    -3.02645
       145.0        72.5  312.117889   46.688805    9.773953   22.994656   38.054234    3.964505
       146.0        73.0  311.361694   46.683743    8.452668    21.39941   35.121269   -7.613813
       147.0        73.5  311.449219   45.998882    9.225093   23.758776   28.376495   -3.384546
       148.0        74.0   312.55954    46.48954    13.07999   37.396214   38.746777   -4.931191
       149.0        74.5  312.067535   46.543182    7.843865   21.631826   25.294664   -2.599595
       150.0        75.0  311.809082   46.205418   11.986377   28.696047   43.459389    -3.92587
       151.0        75.5  311.523376      46.466    7.075952   21.107311   28.036476    0.914091
       152.0        76.0  310.916473   46.637062    10.54942   25.187525   40.562435    7.874063
       153.0        76.5  311.608032    46.37624    9.718498   24.859606   28.303974   -2.791957
       154.0        77.0  311.057037   46.178844    12.06287    29.22842   30.482134    0.397283
       155.0        77.5  311.801239   46.577492   10.997302   27.385921   38.366409    1.181693
       156.0        78.0  311.267242   46.228321    9.437218   23.478266   32.178993   -3.427677
       157.0        78.5  311.975037   46.219997    5.338302   17.008867   17.942545    0.759656
       158.0        79.0  312.360168     46.6987    5.063123   10.515878   17.159737    0.406581
       159.0        79.5  313.258911   46.792908    5.125432   13.699304    12.11993    1.230204
       160.0        80.0    308.9823   48.018848    2.414905    6.059557    6.367823   -0.929811
       161.0        80.5  313.377289   46.212185    1.354094    2.631981    2.702949    0.489904
       162.0        81.0         nan         nan         nan         nan         nan         nan
       163.0        81.5   302.61969   42.017773    1.033467    3.418107    2.065603   -0.376944
       164.0        82.0         nan         nan         nan         nan         nan         nan
       165.0        82.5   301.48053   43.449978    1.978849    5.641046    6.455189    2.239171
       166.0        83.0  302.675537    41.99123    1.855392    9.331592    5.781789    1.278662
       167.0        83.5  303.910889   43.762459    2.135956    5.178449    5.357203    0.698057
       168.0        84.0  302.561981   42.869289    2.314996    7.963986    6.313673   -2.024011
       169.0        84.5  302.043976   42.643265    2.594931    7.644689    4.780016    0.424175
       170.0        85.0  302.223572   43.710175    2.505728    4.856185    9.173761    1.174992
       171.0        85.5  303.070129   42.976288    1.668831    4.042233    3.871704   -1.265326
       172.0        86.0  303.618317   43.122528    2.863889    8.492958    9.309521   -0.681725
       173.0        86.5  303.701324   43.943695    2.570271    7.217139     5.02957   -0.254036
       174.0        87.0  303.180084   43.418926    2.994447    6.787833   10.547285    -0.82285
       175.0        87.5  303.662842   43.859585    3.056797   11.064549   13.362213    2.060813
       176.0        88.0  303.374603   43.794327    3.102937    8.483927    8.551242   -1.082365
       177.0        88.5  302.857666   43.880814     1.80632    3.792457    8.474727   -2.099666
       178.0        89.0  304.952148   44.325657    3.508353    8.967971    9.542543    0.147453
       179.0        89.5  303.841095   43.935581    3.796665    8.864041    9.378921   -0.366045
       180.0        90.0  304.026794   43.825611    3.331939    7.766657    6.998139   -0.825762
       181.0        90.5  304.236084   43.640537    4.247615    9.374523   16.257631   -1.795168
       182.0        91.0  302.830353   43.479527    3.212291    7.233335    8.912516   -0.513485
       183.0        91.5  303.819183   43.397552    5.206462   12.918336   16.449512    1.815524
       184.0        92.0  302.959839    43.17379    3.108746    8.796877    8.598357    1.266664
       185.0        92.5   303.46582   43.536098    5.264749    13.83015   17.622391    4.997606
       186.0        93.0   303.57486   44.041874    4.540255    9.075237    19.04817   -1.602353
       187.0        93.5  304.296082   43.571461    4.582679    9.930952   14.623966    0.268224
       188.0        94.0  303.010101   43.583836    5.962557   11.823081   21.974854   -1.974027
       189.0        94.5  303.150879   43.648254    3.540185    8.545694    12.97198   -0.429988
       190.0        95.0  303.253967   43.560539    3.224922    9.813976    10.99773   -1.218013
