#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
        35.0        17.5  185.076584   57.541351    2.384488    4.632735    5.227253    0.728431
        36.0        18.0  184.993149   57.782589    4.345428   12.440475   10.280971    1.658281
        37.0        18.5  185.708923   58.474285    2.718743    6.949312    6.847571   -0.422062
        38.0        19.0  184.812073   57.249897    2.498819    5.533616    7.177681     0.97447
        39.0        19.5   183.97995   56.444714    3.403208    9.948133   11.542539    3.649458
        40.0        20.0  185.834702   57.530239    3.473456     8.55211    7.318452   -1.228929
        41.0        20.5  185.373917    58.30397    4.202683   11.033715   11.500181    -0.50456
        42.0        21.0  183.162598   56.293793    4.879988   13.389822    25.50491    8.567713
        43.0        21.5  185.205261   57.692005    4.482109   10.817786    9.737993    0.724636
        44.0        22.0  184.649033    57.85648    5.329011   17.557529     14.9271    4.907155
        45.0        22.5  184.703476   58.144451    4.188987    17.97468   12.724813    6.652785
        46.0        23.0  184.224945   57.414642    7.806326   19.722055   19.015985    4.466908
        47.0        23.5   183.57428   57.889679    8.332229   18.393557   26.857855    1.387565
        48.0        24.0  184.158752   57.838951     6.95127   24.415627    15.54633   -0.341196
        49.0        24.5  184.459259   57.863895    7.184427   22.634447    19.57572     1.57726
        50.0        25.0  184.131393   57.389915    8.309991   19.413961   21.790415    0.352926
        51.0        25.5  184.100342   57.555168    7.926554   22.147051   17.921129      1.0175
        52.0        26.0  184.066666   57.205143    8.065452   18.106354   24.295795     3.09324
        53.0        26.5  184.476471   57.242153    9.533433   25.875917   28.009411    7.509226
        54.0        27.0  184.854691   56.751537    6.279202   16.795544   16.257294    1.081912
        55.0        27.5  184.578949   57.221241    8.623899   22.836342   23.999565    3.266195
        56.0        28.0  184.538483   56.558178    9.454681   28.441475   28.141666   -1.632618
        57.0        28.5  184.745056   56.847317    9.413036   23.244013   28.445284    4.913879
        58.0        29.0  184.530701   56.684254   11.108705    27.20425     30.4062    2.543926
        59.0        29.5  183.752777   56.807465    7.665988   16.771994     24.9818    2.170851
        60.0        30.0  184.580368   57.055573    8.570512   21.871893   21.063337    0.809208
        61.0        30.5  184.819733   57.092503    8.134835   22.411585   21.215881    0.716204
        62.0        31.0  185.002411   57.290562    9.923088   27.147154   22.398523    2.381256
        63.0        31.5  184.717117   56.905243    7.373457   17.182554   21.173979    2.451109
        64.0        32.0  185.404694   57.223305     6.43048   18.046007   19.649662    4.485688
        65.0        32.5  184.286118   56.834545     7.38385   17.030289   17.303307    0.032657
        66.0        33.0   184.84198   57.726044    5.970708   17.769053   19.801701    3.683669
        67.0        33.5  185.599121   57.151211    6.682083   15.339297   17.702585    1.362962
        68.0        34.0  185.439056   56.915668    6.265613   15.561212   18.245707    2.784541
        69.0        34.5  184.627563   57.589108    3.955615   12.359268   12.610598   -0.619426
        70.0        35.0  184.355164   56.884369    3.036299     9.36536    6.797111    0.746311
        71.0        35.5  185.191055   57.343769    2.568584    5.954294    6.891573   -0.366136
        72.0        36.0   183.77829   57.189198    1.586739    5.338806    3.303488    0.961373
        73.0        36.5         nan         nan         nan         nan         nan         nan
        74.0        37.0   183.92778   57.599247     1.91981    5.060701    5.750285    0.836498
