#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       492.0       246.0  364.795959  116.808838     0.91592     2.37283    2.600408    0.038447
       493.0       246.5         nan         nan         nan         nan         nan         nan
       494.0       247.0  360.251099  118.577187    1.203518    2.814681    5.909381   -1.801597
       495.0       247.5  359.727173  118.363998    2.114037    3.957288    9.831965   -1.868592
       496.0       248.0         nan         nan         nan         nan         nan         nan
       497.0       248.5  360.146454  117.692307    1.462382    4.165468    5.681174   -2.316195
       498.0       249.0  360.786346  117.496513    2.534408   11.069938     5.33627   -1.494786
       499.0       249.5  359.567383  116.864502    1.376348     4.78774    2.924053   -0.933574
       500.0       250.0  360.547394  117.824188    2.523635    7.816876    5.006963    0.384547
       501.0       250.5  358.895508  116.594109    1.503611    4.534436    4.100807    -1.70107
       502.0       251.0  358.848633   116.41243    3.088728    7.884474   14.444986   -2.499119
       503.0       251.5  360.772552  116.891113    2.190412    7.853407    5.459351   -0.570226
       504.0       252.0  360.444305  117.855881    1.642144    5.076599    3.977664    -1.40846
       505.0       252.5  359.968597  117.224518    2.407833    5.868433    5.696892    -1.21997
       506.0       253.0  360.545715   116.85569    2.079491    4.627104    6.255594    1.195168
       507.0       253.5  361.330963  117.298347    3.612728    9.865851    9.780744    1.182288
       508.0       254.0  360.881165  118.048843    3.129046     6.16776    9.773029   -0.121003
       509.0       254.5  360.280609  117.862221    3.915048    8.480862     14.2033    0.747022
       510.0       255.0   362.31543  116.484627    2.813054    8.425467    5.581705   -0.688954
       511.0       255.5  360.193817  116.524544    4.941803   13.634027   12.193463     0.14782
       512.0       256.0  360.782623   117.49485    4.000924   14.921132    9.605798   -0.614627
       513.0       256.5   360.05249  117.835632    3.045118    8.755859    8.535642   -0.882509
       514.0       257.0  359.666656  118.430115    4.345399   12.808075    11.07186   -0.645809
       515.0       257.5  360.182648  117.848625    4.796744   10.114511   13.868292    1.313802
       516.0       258.0    359.2211  117.015137    3.658319   14.330555   13.517899    3.847222
       517.0       258.5  360.111298   117.38768    4.412613   11.586531   10.919958    0.723588
       518.0       259.0    360.0047  117.361046    6.234514    17.66787   17.061804    1.057772
       519.0       259.5  360.295959  117.172592    4.939544   11.793543   18.963869    1.518329
       520.0       260.0  360.385468  117.766014    5.691339   15.562199   15.575539    0.642778
       521.0       260.5  360.493713  117.525017    6.561701   21.484175   25.808043   -5.411739
       522.0       261.0  360.303009  117.217278     6.44589   16.210663   15.918635    1.984048
       523.0       261.5  359.953827  116.445168    7.034032   21.309555   18.573286   -2.604484
       524.0       262.0  359.970581  116.180489     5.97408    28.73917   12.244309   -0.506467
       525.0       262.5  360.104401  117.188103    6.219953   14.109798   23.733507    3.159818
       526.0       263.0  359.841187  117.219078    5.597989   16.028822   25.238998   -6.350133
       527.0       263.5   360.24884  116.795334    6.740567    16.97274   20.357821    3.674539
       528.0       264.0  359.968536  117.149452    6.440309   18.818993   16.369526   -2.215292
       529.0       264.5  359.520111  116.886826    4.581411   13.849925   13.796948    0.005986
       530.0       265.0  360.468567  117.757042    6.002604   14.366576   22.223173    0.023862
       531.0       265.5  360.272644  117.243271     9.03144   29.502834   21.029068    5.635183
       532.0       266.0  359.967987  117.551888    8.136059   23.430098   19.356234    1.960943
       533.0       266.5  360.212921   118.19416    9.261684   21.849758   29.445591    0.803164
       534.0       267.0  360.610809  117.825523    8.494575   24.623116   29.137005   -3.801908
       535.0       267.5  360.147949   117.23394    9.411943   33.052242   19.769291    4.400839
       536.0       268.0  360.354553  116.933319    9.164795    26.02145   22.645042   -0.179105
       537.0       268.5  359.898254  117.536095    6.973289   24.078451   19.033781    3.855264
       538.0       269.0   359.83844  117.979759    8.745125   23.334074   23.030907   -0.828221
       539.0       269.5  359.700928  117.607384    7.038594   25.266928   16.966753   -0.414817
       540.0       270.0  360.309296  118.054749    9.102636   24.989523   24.268093    3.709728
       541.0       270.5  360.092316  118.158287    7.414868   22.631319    25.08655    6.954179
       542.0       271.0  360.446198  117.867569    8.194687   26.652704    24.63369    1.855337
       543.0       271.5  360.048309  118.088844    8.341146   34.385986   18.502428    2.765104
       544.0       272.0  360.624664  118.037682     9.75666   29.184021   25.023203   -0.002869
       545.0       272.5  360.021088  117.419739    8.764098   23.318922   27.791113    2.205419
       546.0       273.0  360.275085  118.218323    9.457523   27.440693   28.723841    4.829811
       547.0       273.5  360.898254  117.905746    8.927396   30.378448   23.526705    5.535813
       548.0       274.0  360.507324  117.772034    11.87806   39.330872   35.815086   12.226187
       549.0       274.5  360.437775  117.713562   10.153619    29.80051   26.923885    5.355217
       550.0       275.0  360.415924  118.151093    9.566007   30.645954   27.068253    1.634734
       551.0       275.5   360.03067  118.093285    9.136564   25.308403   26.665417   -0.088065
       552.0       276.0  359.791687  118.062004   11.241174   31.360792    32.05426   -3.650755
       553.0       276.5  360.082001  118.504051    8.645175   27.573502    26.74646    3.232986
       554.0       277.0  360.250641  117.713562   10.798312   31.555214   33.184914    7.653573
       555.0       277.5  359.892609   118.23542    9.600173   33.137154   29.258324    4.707037
       556.0       278.0  359.506744  118.215317   11.927073    39.22023   34.654339    6.300681
       557.0       278.5   359.85498  117.575661   10.479377   38.735577   26.059427    1.008316
       558.0       279.0   360.43103  118.465164   11.190662   32.227543   39.216389     7.66609
       559.0       279.5  360.662048  118.337082    8.296496   27.265066   24.092991     2.09897
       560.0       280.0  359.791016   117.55793   10.883066   34.558754    29.07308    4.651099
       561.0       280.5  359.913727  118.209801    10.36748    36.64122   36.004917   11.467147
       562.0       281.0  359.845276  117.502594    8.689442   24.850006   24.328955   -0.261844
       563.0       281.5  359.945282  117.429237   10.645486   32.426895   28.158707     2.17986
       564.0       282.0  360.329529  117.402527    9.105845   29.392582   27.346853   -4.453084
       565.0       282.5  359.927521  118.082047    8.633373   26.181347   22.312922   -0.539947
       566.0       283.0  359.954987  117.885536    8.323011    24.90176   28.116772    2.918202
       567.0       283.5  359.442108  117.018066    9.113811   30.363308   25.135258    4.872905
       568.0       284.0  359.678833  117.928474     7.69484   17.957773   21.948122    1.478078
       569.0       284.5  359.664459  117.458946    5.695958   18.255239   15.452507    3.936027
       570.0       285.0  359.483673  118.346527    4.777845   16.024464   16.634989    3.008798
       571.0       285.5  359.400787  118.100052    2.857936    7.115742    7.835136    1.362772
       572.0       286.0  359.422211  117.960945    2.521603    9.373561    7.737085    2.529733
       573.0       286.5  358.519897  117.915749    1.781649    4.365577    6.389508    1.891648
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_001229.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
# eccentricity_pval: 0.8670737401873859
# eccentricity_R: 0.661586946907402
