#    frames      t (s)    x (pxl)    y (pxl)          f        u02        u20        u11
        0.0        0.0   0.298595  90.319649   0.969551   2.504211   0.289503   0.112355
        1.0        0.5   0.441033  90.988274   1.236872   2.620872   0.683648  -0.000482
        2.0        1.0   3.058129  89.894699   1.794489   3.930825   3.284319  -0.065197
        3.0        1.5   1.585878  89.708527   1.550707     7.6043   1.835948   0.177776
        4.0        2.0   2.084548  90.724434    2.45206   7.980056   4.520623  -0.791413
        5.0        2.5        nan        nan        nan        nan        nan        nan
        6.0        3.0   2.075061    89.5783   2.197154   5.487048   3.375598  -0.528334
        7.0        3.5   1.694107  90.294434   2.003894    7.18974   2.499653   0.220566
        8.0        4.0   1.984486  90.030891   2.491336   8.325027   3.799651   1.208641
        9.0        4.5   1.424874  90.476562   1.606585   5.928513   1.823735   0.221284
       10.0        5.0   1.638608   90.58812   1.965845   6.410913   2.498605  -0.442632
       11.0        5.5   1.746733  90.761787   2.312949   8.755225   3.110202   1.010391
       12.0        6.0   1.698599  90.359779   1.324956   4.517484   1.680569   0.181174
       13.0        6.5   1.928505  89.736351     1.5188   5.620644   1.960336  -0.222408
       14.0        7.0     2.2512  90.759827   2.834671   9.028971   5.306692   1.365093
       15.0        7.5   2.009858  90.280487   1.665779    3.46002   3.316539     0.1065
       16.0        8.0   2.396213  88.632179    1.42468   3.119194   3.790547  -0.178944
       17.0        8.5   1.690853  85.223282   1.826917   6.115162   2.295414   0.266518
#---------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000025.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
