#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
        36.0        18.0   464.35144   71.825027    1.526492    7.220939    3.403844    1.813577
        37.0        18.5         nan         nan         nan         nan         nan         nan
        38.0        19.0  466.328644   72.487068    2.166425    4.983379     6.85078   -0.873362
        39.0        19.5         nan         nan         nan         nan         nan         nan
        40.0        20.0  466.748322   72.308846    1.728012    6.051711    2.723098    0.706172
        41.0        20.5         nan         nan         nan         nan         nan         nan
        42.0        21.0   467.72998    71.92585    1.605281     4.04302    3.547314    0.376826
        43.0        21.5  467.743958   72.006874     2.05517     6.23416    4.419748   -0.417278
        44.0        22.0  467.663116   71.450294    2.057655    4.764465    4.698778   -0.809885
        45.0        22.5  468.239807   72.353218    2.359818     6.81022     4.72491    0.347961
        46.0        23.0  466.933014   71.934502    1.765328    3.921576    8.664268    2.399132
        47.0        23.5  468.160217   71.746117    1.968619    5.400501    6.490947   -1.683545
        48.0        24.0  466.754913   71.900314    3.092358    7.281762   15.157747    -3.73122
        49.0        24.5  467.640778   71.244385    2.653265    7.221218    6.635413   -0.332131
        50.0        25.0  467.506805   70.667076    2.631608     5.79686    5.422258   -0.628395
        51.0        25.5  466.818298   71.656914    3.222589    8.917288    8.853098    -0.61294
        52.0        26.0  467.600281   71.991165    3.832437   14.970835    7.510239   -0.203199
        53.0        26.5  466.796295   71.421875    4.521451   14.152933   12.536375   -3.719298
        54.0        27.0  467.073212   71.895508    3.716779   11.293468    7.879045    1.290576
        55.0        27.5   466.89389   71.533157    5.337551   13.084343   16.359722    0.875676
        56.0        28.0  466.843323   71.900948    5.720612   13.565166   18.080957    0.720699
        57.0        28.5  466.962921   71.774879    5.229335   15.396188   16.859541   -1.741146
        58.0        29.0  467.050842   72.006371    5.937094    12.73352   16.851803   -0.531199
        59.0        29.5  466.981689   72.630424    7.010751   19.803766   16.850447   -1.193976
        60.0        30.0  467.208679    72.32476    7.004054   16.996088   16.702545      1.5731
        61.0        30.5  466.784119   71.665688    7.588029   19.673197   19.966173    0.643895
        62.0        31.0  466.887238    72.53479    8.201267   21.692438   20.539709   -0.666777
        63.0        31.5  466.947815   72.520081    5.862064   16.194544   16.912863     0.19655
        64.0        32.0  467.004608   72.150986    6.343208   16.453831   14.990731   -0.837875
        65.0        32.5  466.348633   72.329109    8.157929    20.76335   25.500864    4.472217
        66.0        33.0  466.422058   72.183006    8.879082   23.930567   25.547413    3.740659
        67.0        33.5  466.376923   72.743568    7.538462   21.726908   22.743835   -1.354087
        68.0        34.0  466.562622   72.593933    7.467179    20.26615   21.998062    2.237806
        69.0        34.5  465.998779    72.51458    9.854251   24.878534   29.467972     2.56285
        70.0        35.0  466.200226   72.724861    8.542352   25.032465    30.58984    3.021184
        71.0        35.5  466.291016   72.141449    9.045134   24.462454    28.58552    0.996336
        72.0        36.0  465.629211    72.26252   10.148011   32.125099   26.510654    0.293711
        73.0        36.5  466.694763   72.750458   10.101937   28.371962   27.571308    -2.79636
        74.0        37.0  466.527374   72.689285    9.934719   33.246922   24.557421    4.849961
        75.0        37.5  465.963074   72.410316    8.295323   24.736563   19.652859    1.875705
        76.0        38.0  466.067413   72.474861    9.067101   26.229023   28.050705    0.909125
        77.0        38.5  466.065216   72.350174   10.744795   37.539494   27.256374    1.006196
        78.0        39.0  465.918304   72.318161   11.289187   33.825977   29.248558   -3.410678
        79.0        39.5  466.217926   72.387688   11.834325   34.595642   30.977995    3.496368
        80.0        40.0  466.356445   72.469933   11.772951   32.871357   35.110878   -1.108426
        81.0        40.5  466.489716   72.120926   11.362046   28.063541   37.601776    2.833457
        82.0        41.0  466.450409   72.509758   13.363219   39.490074   39.763035    -7.04458
        83.0        41.5  466.337708   72.709854   10.829043     30.5238   29.660614   -1.572809
        84.0        42.0  466.582886   72.398621   12.571967   42.874664   31.852381   -6.169324
        85.0        42.5  465.924652   73.084602    9.427835   26.761421   23.331835   -0.769998
        86.0        43.0  465.756927   72.757668   15.133444   48.428806   35.457024   -0.002035
        87.0        43.5   465.44516   72.890144   13.439433   40.155685   40.932072   -1.192784
        88.0        44.0  464.395172    73.73439   14.368744    38.69379   35.747971   -0.800611
        89.0        44.5  462.086731   73.984451    15.32201    36.43235   37.351833   -1.498835
        90.0        45.0  461.913086   74.379791   12.424191   33.225384   31.038404   -3.342004
        91.0        45.5   462.22403   74.725052   14.343177   39.178165   39.308071     2.92891
        92.0        46.0  462.761719   73.778496   11.449427   30.558464   35.069336     1.45811
        93.0        46.5  465.135468   74.203659   11.652228   32.467762   30.817425    0.996219
        94.0        47.0  468.151489   74.207558   10.769907   29.110611   29.956478   -1.375558
        95.0        47.5  465.917328   73.896332    8.802066   19.790106   24.662676   -1.535382
        96.0        48.0  465.721558   73.930313    6.523026   17.072857   20.200031   -2.720842
        97.0        48.5  466.329773   73.486687    3.377317   15.799315    7.163099   -0.433387
        98.0        49.0  464.501434   74.039726    3.387688    6.804852   11.185123   -0.244394
        99.0        49.5  464.536102   74.781326    2.382576    4.791817    7.112499   -1.033851
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000132.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
# eccentricity_pval: 0.9741247715914059
# eccentricity_R: 0.9346245411136525
