#    frames      t (s)    x (pxl)    y (pxl)          f        u02        u20        u11
      398.0      199.0   9.496529  50.644939   1.377674   5.352503   2.469446  -1.020509
      399.0      199.5        nan        nan        nan        nan        nan        nan
      400.0      200.0     10.598   50.89172   2.219724   4.614228   6.080264   0.437478
      401.0      200.5        nan        nan        nan        nan        nan        nan
      402.0      201.0  11.356056  50.336525   1.868577   5.252845   3.347646  -0.270566
      403.0      201.5  11.589252   48.85754    1.58432   9.291402   2.287837   0.548197
      404.0      202.0        nan        nan        nan        nan        nan        nan
      405.0      202.5  10.902404  51.383232   2.075472   4.842237   6.638297  -0.235554
#---------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000885.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
