#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       541.0       270.5  109.569077  259.739288    0.961599   17.837631   14.503947   -2.533582
       542.0       271.0         nan         nan         nan         nan         nan         nan
       543.0       271.5  106.524048  259.378113    1.270182    6.712378    4.035238   -0.370176
       544.0       272.0  107.040657   260.05069    1.239087     10.5215    4.315879    3.518706
       545.0       272.5  106.639099  258.834045    2.776949    8.795438    9.010637    3.584573
       546.0       273.0   107.93602  257.744263    1.049202    5.138099   18.415968    -1.22391
       547.0       273.5  107.874702  261.018402    1.784567    5.573596    6.039589   -0.256454
       548.0       274.0  106.104881  260.144073    1.956419    6.594252    4.489174    -0.63981
       549.0       274.5         nan         nan         nan         nan         nan         nan
       550.0       275.0  107.263268  258.025513    2.741298    5.769598    6.693623   -0.976122
       551.0       275.5   106.13443  257.838684    1.702793   12.259809    5.893437    1.634279
       552.0       276.0  108.611038  258.775299    1.821813   15.834605    3.454857    1.469008
       553.0       276.5         nan         nan         nan         nan         nan         nan
       554.0       277.0  105.836769  258.846252    1.641896   18.564631    6.129291    5.014351
       555.0       277.5  106.991127  258.894714    2.263431     4.85959    5.343249    0.939316
       556.0       278.0  107.664444  258.727905    3.263261    9.863008     7.10958    1.551491
       557.0       278.5  107.205093  259.284058    2.594653    5.633973    7.433493    0.100526
       558.0       279.0  106.906158  259.045349    3.852571    9.418558    9.876556    1.684637
       559.0       279.5  106.982864  258.879791    1.847922    7.354246    5.538474   -0.292638
       560.0       280.0   107.25798  258.647949    4.361084    10.96958   23.085178   -3.256623
       561.0       280.5  106.910385  258.713074    4.104233   11.888004    9.952092    0.632049
       562.0       281.0  106.624359  258.580322    3.195711    9.598346    9.303678    2.852078
       563.0       281.5  107.607079  258.087219    3.968805   11.539495      8.8781    -1.64236
       564.0       282.0   106.88179  258.403931    3.321791   10.064237    7.345791    1.370702
       565.0       282.5  107.134499  258.458618    5.117733   11.550569   14.824658   -1.459462
       566.0       283.0  106.827744  257.601532    4.839691   16.372555   18.366823   -4.530129
       567.0       283.5  107.517319  258.587158    3.919723    13.06229   14.822623    6.411879
       568.0       284.0  106.945839  258.229736    4.248006   15.785022   16.691044    2.939985
       569.0       284.5  106.844154  258.449341    4.342734   10.261137   12.770545    1.697496
       570.0       285.0  107.385468   257.98941    4.847461   13.208801    11.56923     0.02881
       571.0       285.5  106.898605  258.668274    6.803302   20.983295   16.205658    4.791352
       572.0       286.0  107.278175  257.769714    6.378025   19.805058   14.719727   -0.106966
       573.0       286.5  106.329681  257.891571     6.10706   23.548853   12.524827    0.598536
       574.0       287.0  107.651169  257.829529    5.934014   18.038532    16.17309    1.879862
       575.0       287.5  107.459503  258.284851    6.926223   21.791704   16.185656    1.082572
       576.0       288.0  107.312752  257.606323    7.920319   21.720493   18.079855   -0.134207
       577.0       288.5  107.008926  259.463623    6.567979   15.052724   23.432543   -0.847423
       578.0       289.0  107.143974  256.907074    8.754067   27.510689   20.758877    2.639918
       579.0       289.5  106.428764  256.619873    8.722964   24.674427   22.807339   -1.229725
       580.0       290.0  106.564804  256.032562    8.756963   22.933128   21.243027    1.714943
       581.0       290.5  106.326332  255.944733    6.159207   15.164985   17.981775   -0.305592
       582.0       291.0  106.363663  253.847336    6.317529   20.487217   13.110806    2.377883
       583.0       291.5  105.955246  255.091507    7.257853    20.60667   15.463275    2.722315
       584.0       292.0  106.897957  256.875488    7.294416   23.121788   15.309583    1.866458
       585.0       292.5  105.983719  256.374237     8.85745   23.383205   20.880594    0.445522
       586.0       293.0  106.521385  256.902161     5.71551   16.494722   12.595849    0.454313
       587.0       293.5  106.996902  255.920105     5.05692   11.650814      14.343    0.698334
       588.0       294.0  105.589394  255.932831    1.949206    5.926656   12.280273   -2.745205
       589.0       294.5  107.521057  250.646713    1.089889   11.712896   18.817291   -0.753829
       590.0       295.0         nan         nan         nan         nan         nan         nan
       591.0       295.5  102.447334   252.19902    1.160582    6.054063   10.440063    0.909167
       592.0       296.0         nan         nan         nan         nan         nan         nan
       593.0       296.5  106.035423  255.861145    1.272305    7.528172     7.25153    2.996408
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_001440.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
