#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
        91.0        45.5  470.580109   98.703209    1.873568    5.780622    9.009562    0.060678
        92.0        46.0  470.929138   97.371887    1.634436    5.803129    7.125311     1.28818
        93.0        46.5  473.033936   98.915619     2.43106    5.425169   10.539687   -1.904861
        94.0        47.0  472.848694   97.928001    2.976415    5.905147    8.168386   -0.129912
        95.0        47.5  473.112854   97.823364    1.599057    4.032941    9.829219    1.505349
        96.0        48.0  474.070892   97.940994    2.296431   10.234203    6.447366   -0.474187
        97.0        48.5  473.770508   98.276047    4.037329   14.546755     7.27248    0.477411
        98.0        49.0  473.773743   98.846848    3.120902    7.146457    7.539652    1.179755
        99.0        49.5  475.061127   98.412666    4.538784   11.656371   13.168137     1.49095
       100.0        50.0  474.434052   98.392303    4.729935   11.463801    13.31007    1.018246
       101.0        50.5   475.28125   97.952461    3.583772   10.455897    14.65488    0.939315
       102.0        51.0  474.719879   98.382332    3.525931   10.770889   12.091274    -2.79335
       103.0        51.5    475.4198    98.67482    3.705748    8.932053    9.846712   -0.971358
       104.0        52.0  474.568451   98.037727    4.968153   13.495636   11.729177   -0.163453
       105.0        52.5  474.822937   98.277496    4.273492    9.881221   13.114392    0.037712
       106.0        53.0  475.430939   98.503685    5.338561   19.390038   12.557437    2.987465
       107.0        53.5  475.155396   98.647285    6.296528   15.700077   19.393738    1.944011
       108.0        54.0   474.35257   98.738724    6.271624    11.70036   26.642719    -1.46487
       109.0        54.5  474.205902   99.355186    5.427076   15.939993   13.013434   -0.092279
       110.0        55.0  474.708832   98.760864    7.587224   19.214489   20.749756    1.119672
       111.0        55.5  473.565399   98.161415    7.003668   22.035919   18.948282    0.471562
       112.0        56.0  473.778534   98.418289    6.645654   19.357769   20.179882    -2.36442
       113.0        56.5  474.250336   99.135574     6.48544    17.92753   13.193834   -1.418908
       114.0        57.0  474.130035   99.068222    5.342802   17.935375   10.820327    2.521905
       115.0        57.5  474.173279   98.661583    7.904377   24.612112   18.622749    0.349028
       116.0        58.0  475.045563   98.888756    8.821032   19.718655   25.203136    0.590776
       117.0        58.5  474.482056   99.112068    7.027131   18.968672   23.736702    0.630815
       118.0        59.0  474.379974   98.570717    7.529652   17.929049   21.605755    -1.79914
       119.0        59.5  474.697327    98.56842    7.247323   21.740446   19.012405    0.373367
       120.0        60.0  474.896179   98.880936    8.269795   21.602118   23.538021    2.628513
       121.0        60.5  474.765106   98.372749    6.988549    17.79809   19.131035    1.428075
       122.0        61.0  474.909546   98.154045    7.226249   17.812683   18.284365   -1.124595
       123.0        61.5  474.965027   98.542496    7.593486   22.599796   16.771866   -0.275936
       124.0        62.0  474.642365   98.869347    8.987518   29.534344   20.184988    2.330685
       125.0        62.5  474.849792   98.610107    9.550594   23.356745   28.528114     1.31446
       126.0        63.0  474.804779   98.403076    8.607445   23.321356   23.981771    0.604156
       127.0        63.5  473.921661   98.711891    8.527114   23.516022    20.91778   -3.424084
       128.0        64.0  473.918121    98.75882   10.697562   24.896412   31.332554    0.109728
       129.0        64.5  476.658264   98.414505     8.77967   25.378008   30.971041     4.45437
       130.0        65.0  475.573212   99.031776    9.407003   25.426395   28.426491    1.024814
       131.0        65.5  476.244141   99.075523    8.469961   23.515417    20.14912    1.855081
       132.0        66.0  475.116974   98.942467    7.086704   16.525038   18.875774   -0.693095
       133.0        66.5   471.09967   99.097359    6.617917   16.891016   20.032734    1.414501
       134.0        67.0  470.689056   98.743843    4.744548   10.231499   14.000072    0.525611
       135.0        67.5  471.386475   99.904938    2.852413    8.026429   14.437844    1.434231
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000213.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
