#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       147.0        73.5  275.847198    91.22332    1.489545    6.946104    4.667996    1.270951
       148.0        74.0  275.801636    91.14727    1.244302    3.392263    3.805487    1.171664
       149.0        74.5         nan         nan         nan         nan         nan         nan
       150.0        75.0  275.881958   91.168434    1.785218     7.69204     6.83569    0.249224
       151.0        75.5         nan         nan         nan         nan         nan         nan
       152.0        76.0  275.828766   91.386826    1.226216     4.90033    3.636551   -1.088756
       153.0        76.5  275.915039    91.27726    1.416533    7.659151    4.784533   -0.305905
       154.0        77.0         nan         nan         nan         nan         nan         nan
       155.0        77.5   273.47403   91.971779    1.335915    9.397114   21.855907   -6.743661
       156.0        78.0  276.064606   91.263954    2.283216    6.716539    9.429359   -0.836965
       157.0        78.5  275.876495   92.817314    1.735097    11.05411     11.3772   -7.187432
       158.0        79.0  274.190155   91.748001     1.86825   10.486633    4.084793     2.27283
       159.0        79.5  274.817169    91.82518     2.41199    6.613882    8.798527   -1.439432
       160.0        80.0  277.377625   92.132126    1.243658    3.122643    10.07535    -0.56042
       161.0        80.5  276.212128   92.172058    1.369282   14.588208    5.961761   -1.872916
       162.0        81.0  276.729645   91.518066    1.564612    3.859412    6.048512    -1.06651
       163.0        81.5  277.574188   91.088829     2.56595   10.282746    8.587383   -0.609495
       164.0        82.0  276.919708    91.86924     2.58505    7.679009    9.450082    0.088513
       165.0        82.5  275.913696   91.873016    2.335674    5.454884    9.380815    0.701352
       166.0        83.0  278.438721   90.099556    2.024489    3.971032   11.175329    0.183733
       167.0        83.5  277.545166   91.373161    1.970311    8.761425    5.873082   -2.202787
       168.0        84.0  277.532104   91.320847    2.933421    16.08357     6.53482   -1.468229
       169.0        84.5  276.003601   91.035133     1.22338    4.939208    6.496611    0.017868
       170.0        85.0  276.787842   91.206306     2.63408   11.287435   13.468691   -1.339382
       171.0        85.5  277.234924   91.206169    3.575413   12.806897    9.984282   -3.274805
       172.0        86.0   277.91095   91.340248    2.389416    8.904876    4.492146    0.216034
       173.0        86.5  277.852753   90.333572    2.156523    8.500465    4.505512    -0.47963
       174.0        87.0  277.556763   91.111328    3.985232    8.847896   11.553299   -0.467475
       175.0        87.5  276.518402   91.461967    1.487097   15.294664    6.141795    -5.66112
       176.0        88.0  277.962891    92.20134     3.58871   10.056814    8.655762   -0.272202
       177.0        88.5  277.916595   90.897057    2.680918    7.265747     7.89924     1.39932
       178.0        89.0  278.426544   90.610641    4.503095   12.008901   13.597733   -2.809823
       179.0        89.5  279.229919   90.172768    2.228183     11.6795    9.463303   -1.052347
       180.0        90.0  278.985352   90.567169    2.707091     8.19716    5.526668    0.183245
       181.0        90.5  278.541321   91.808441    2.287734    7.287444    7.134561   -2.349514
       182.0        91.0   279.46991   90.969391    2.490924     8.91567    7.378992   -1.327212
       183.0        91.5   279.12912   90.961769    2.211638     7.53441    7.992818    1.296517
       184.0        92.0  277.834076   90.855553    3.028067   25.720404   19.551783  -13.647376
       185.0        92.5  280.734711   91.066025    3.465103   14.750199    6.843043   -0.139585
       186.0        93.0  281.058197   92.365196    2.067562   14.837485    7.773678    -4.30621
       187.0        93.5  281.131409   90.827995    2.114388     5.59697    5.855834    0.465116
       188.0        94.0  280.748993   92.170197    2.042072    9.512402    4.459505   -1.698803
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000281.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
