#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
         0.0         0.0   362.51889   71.348068    6.106591   24.007601   14.419382    2.415661
         1.0         0.5  363.308472   71.360245    7.095564   20.432198   21.337545    5.229163
         2.0         1.0  363.677094   71.238792    7.560495   18.848829   24.444651   -0.082391
         3.0         1.5  363.873322   71.163612    6.822679   22.191917   12.939014    0.228028
         4.0         2.0  359.769104   71.127655    8.403696   21.217783   21.145412   -0.436002
         5.0         2.5  359.691864    71.78138    6.962874     19.1269   24.540771    2.346074
         6.0         3.0  359.417725   71.466309    8.909971   23.775412   26.844717    5.218349
         7.0         3.5  360.188019   71.902527    9.226889   27.219986   22.908293    1.817289
         8.0         4.0  362.816711    71.31514    10.85228   24.718433   28.099318   -1.656415
         9.0         4.5  362.915314    71.27198    9.493545   21.134754   25.773222   -1.513559
        10.0         5.0  365.145569   71.330597    8.535494   22.272165   25.035856    5.725127
        11.0         5.5   366.70929   70.677315   11.175838   36.870708   29.213348    -6.15574
        12.0         6.0  365.254974   72.545418    9.745408   29.402248   22.478722   -3.542639
        13.0         6.5  365.714966   71.975349    8.825671   20.503441   27.068375   -3.238235
        14.0         7.0   367.38739   71.442062   10.308085   31.894152   28.206034   -0.599255
        15.0         7.5  367.214417    73.00264   11.886462   29.059158   34.386055    0.787614
        16.0         8.0  367.900909   72.834023    11.16576   28.362343   26.260927   -2.438498
        17.0         8.5  368.607056   73.174278   11.439063   29.525223   29.833784   -0.236356
        18.0         9.0  367.921509   72.586639    9.026119    22.00742   28.888411    2.419815
        19.0         9.5  368.276672    73.27269    9.710678   28.238808   23.156864   -2.020905
        20.0        10.0  367.808136   72.896339   12.401609   40.645966   32.507973   -8.439425
        21.0        10.5  367.004486   72.991348    9.181134   23.412874   24.610401   -3.048047
        22.0        11.0  367.346313   73.318443   11.068601   27.130686   32.827644    2.752847
        23.0        11.5  367.865204   73.632919   10.203297   26.517677   32.601078   -0.210879
        24.0        12.0   367.97113   73.177849   13.807083   34.625549   33.001282    0.939456
        25.0        12.5  368.425476   73.535995   10.847218   37.942032   28.099455   -7.488833
        26.0        13.0  368.753662   74.300514   10.322701   23.444376   29.172199    4.246759
        27.0        13.5  368.276886   73.988487    9.544621   22.737165   27.591776   -3.270029
        28.0        14.0  368.527344   73.384155    9.479795    29.92198   27.235765   -7.485641
        29.0        14.5  369.222015   74.330643    4.894948   13.230149   14.796857   -0.709855
        30.0        15.0         nan         nan         nan         nan         nan         nan
        31.0        15.5  373.752777   72.718491    6.472253   31.920328   12.476264     2.11059
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000019.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
