#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       448.0       224.0  392.359222   15.819943    1.834174    5.711067    8.152728   -0.832764
       449.0       224.5         nan         nan         nan         nan         nan         nan
       450.0       225.0  394.558014   18.296307     1.26416    5.938686    3.428365    0.941024
       451.0       225.5  392.321167   16.834139     1.69636    3.649842    9.782611    2.735478
       452.0       226.0  394.367004   16.184847    2.099592    6.366635    3.963422   -0.113886
       453.0       226.5  394.112854   16.844101    1.665784    3.988989    6.105369    0.557161
       454.0       227.0  393.875641   17.280926    1.715891    7.112266    5.577396    2.563028
       455.0       227.5  393.054535   16.587652    2.810441    9.826519    9.694564    1.204947
       456.0       228.0  392.889099   16.209782    0.967902    2.647828    2.773728    1.240882
       457.0       228.5  393.826477   16.207598    2.163801    6.566153    6.932587     -0.6739
       458.0       229.0  393.148346    17.65373    1.290381    5.121901    2.846817   -0.776933
       459.0       229.5    393.1297   17.521957    1.800761    3.630338    7.849268    0.890686
       460.0       230.0  392.199463   18.938517    2.089042    9.435539    7.618288    0.738607
       461.0       230.5  393.143768   16.182114    1.738645    3.633229    3.809714    0.671338
       462.0       231.0  393.816589   17.313547    1.719729    8.780617    3.112809   -2.104546
       463.0       231.5  394.594788   16.500902    1.535651    4.081571      4.9559   -0.958743
       464.0       232.0         nan         nan         nan         nan         nan         nan
       465.0       232.5  393.323639   17.598782    1.593821    7.041133    6.591981   -4.174231
       466.0       233.0  392.181763   16.673035    1.849314    3.592237    8.537196     1.04459
       467.0       233.5  390.942535    18.23259    1.860875    4.960462    4.659461    0.908237
       468.0       234.0  393.695984   18.042601    1.341876     5.92991      3.8483   -1.769818
       469.0       234.5  389.428619    17.34271    1.369937    2.271445    7.084919    0.047311
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_001025.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
# eccentricity_pval: 0.5833961102865934
# eccentricity_R: 0.6459821657108907
