#     frames       t (s)     x (pxl)     y (pxl)           f         u02         u20         u11
       324.0       162.0   145.26593   26.369627    1.861724    6.471805    8.441566    3.871606
       325.0       162.5         nan         nan         nan         nan         nan         nan
       326.0       163.0  145.662323   28.276197    2.338909    7.055521    6.340529   -0.893751
       327.0       163.5         nan         nan         nan         nan         nan         nan
       328.0       164.0  146.737076   26.151028    0.910314    1.609743    2.080108   -0.071421
       329.0       164.5  147.771576   25.740211    1.139423    3.701314     1.57308    0.069598
       330.0       165.0    146.2565   28.009979    1.808324    4.662069    4.804087    0.732855
       331.0       165.5  148.389297   26.311018    1.156723    2.412665    3.474767    0.499664
       332.0       166.0   147.68924   27.100128    2.371434    8.112607    6.392557   -2.273315
       333.0       166.5  147.062622    28.95504    1.728725    2.881315    4.113279    1.009946
       334.0       167.0  145.802307   27.706205    2.224222    7.345759    5.091458    1.345112
       335.0       167.5  146.609161   27.724831    1.867877    3.140636    5.095832   -0.065924
       336.0       168.0  144.988235   26.934023    1.470604    7.275257    3.085896   -1.956391
       337.0       168.5         nan         nan         nan         nan         nan         nan
       338.0       169.0  146.098801   26.829094    1.558915    4.216607    3.897039    0.455232
       339.0       169.5  147.133484   27.558586    1.140267    4.594613    1.588562    0.580983
       340.0       170.0  144.267334   26.995571    1.393058    3.122708    2.632184    0.262213
#-----------------------------------------------------------------------------------------------
# experiment: ./TRAJECTORIES
# path: /Users/andreapicco/Google Drive/RESEARCH/TRACKING/Automated_Tracking/TEST/AP2_MOVIE_2/./TRAJECTORIES
# file: trajectory_000691.txt
# dataset: Traj_3_Macro_pDC_Left_Mid_AP2_GFP_LP_fr_600_i_0.5_Airyscan Processing_BG_BL_JTC.txt
# t_unit: s
# delta_t: 0.5
# coord_unit: pxl
# intensity_normalisation: None
